claim_id,short_name,measure,test,expected,quote,figure
1,iNKT cells are a rare population of lymphocytes,inkt_percent_of_lymphocytes,upper_bound,at most 1 percent of lymphocytes,"Frequencies of peripheral iNKT cells vary substantially but are usually low ranging from undetectable up to 1% of lymphocytes (14,15).",Figure 1B
2,Vδ2+Vγ9+ cells are the largest peripheral γδ subset,vd2vg9_against_vd1,ordering,a higher frequency than the Vδ1+Vγ9− subset,"The majority of Vδ2+ T cells co-express Vγ9 and form the largest population of peripheral γδ T cells, while Vδ1+ T cells dominate mucosal tissues.",Figure 1C
3,Two levels of Vδ2 exist within the Vδ2+Vγ9+ subset,vd2_level_split,bimodality,two levels of Vδ2 within Vδ2+Vγ9+ cells,"Interestingly, two populations within Vδ2+Vγ9+ T cells exist with distinct expression levels of Vδ2 (Vδ2lowVγ9+ and Vδ2highVγ9+) (Fig. 1C) (23).",Figure 1C
4,MAIT cells carry Vα7.2 and high CD161,mait_definition,gate_resolves,a resolvable Vα7.2+ CD161 high population inside the double negative T cells,"MAIT cells are characterized by the expression of TCR Vα7.2 and high levels of CD161 (Fig. 1C) (11,24).",Figure 1C
5,Conventional T cells are the majority of CD3+ cells,conventional_percent_of_cd3,majority,more than half of CD3+ cells after the unconventional subsets are removed,"The remaining cells after exclusion of MAIT cells are conventional T cells, which mostly encompass CD4+ and CD8+ T cells (Fig. 1C).",Figure 1C
6,Three NK subsets are resolvable within CD3−HLA-DR− cells,nk_subsets_resolve,gate_resolves,three subsets separated by CD16 and CD56,"We distinguished three NK cell subsets within CD3−HLA-DR− cells (Fig. 1D) based on the expression of CD16 and CD56, namely early (CD56brightCD16−), mature (CD56+CD16+), and terminal (CD56−CD16+) NK cells (Fig. 1D) (9,27,28).",Figure 1D
7,Mature NK cells are the largest NK population in blood,mature_nk_largest,ordering,a higher frequency than the early and the terminal subsets,Mature NK cells form the largest NK population in peripheral blood and are characterized by cytotoxic effector functions.,Figure 1D
8,CD16+CD56+ γδ T cells exist,cd16cd56_gd_present,presence,a detectable CD16+CD56+ fraction of γδ T cells,"Although we included CD16 and CD56 to define NK cell subsets, in-depth analysis revealed the existence of CD16+CD56+ γδ T cells, which are associated with immune activation (42) (Fig. 1J).",Figure 1J
9,CCR7 and CD45RA split CD4 and CD8 T cells into four subsets,differentiation_subsets,gate_resolves,naive TCM TEM and TEMRA resolved on CCR7 and CD45RA,"The inclusion of CCR7 and CD45RA enables the identification of four subsets (first column), namely CD45RA+CCR7+ naïve, CCR7+CD45RA− central memory (TCM), CCR7−CD45RA− effector memory (TEM), and CCR7−CD45RA+ terminally differentiated memory (TEMRA) T cells within CD4+ (top row) and CD8+ (bottom row) T cells.",Figure 1E
10,The panel resolves the published strategy from viable single lymphocytes,gating_strategy,gate_resolves,every population of the published strategy reached from viable single lymphocytes,The panel described here enables the in-depth characterization of NK cells and conventional and unconventional T cells using 28-color high-dimensional flow cytometry.,Figure 1A
